ticks,adult,child,cost-benefit,generations,gene,median-children,median-education
37,0.05,0.45,0.1,1.5,1.588,1,3
47,0.05,0.9,0.7,1.5,4.58,9,6
49,0.05,0.95,0.95,1.5,6.562,9,8
35,0.05,0.95,0.75,1.75,9.609,4,11
45,0.05,0.6,0.15,1.88,1.58,2.5,3
43,0.05,0.9,0.65,2,0.58,0,2
59,0.05,0.3,0.1,2,0.594,4,2
53,0.05,0.9,0.6,2,0.748,6,2
58,0.05,0.6,0.15,2,0.863,7,2
49,0.05,0.85,0.3,2,1.354,4,3
46,0.05,0.85,0.25,2,1.671,4,3
57,0.05,0.45,0.15,2,2.573,6,4
55,0.05,0.85,0.35,2,4.098,5,6
60,0.05,0.85,0.6,2,4.148,8,6
50,0.05,0.95,0.85,2,5.345,2,7
50,0.05,0.9,1,2,6.289,0,8
49,0.05,0.95,0.6,2,6.431,6,8
55,0.05,0.85,0.5,2,7.067,10,9
50,0.05,0.3,0.05,2,7.228,1,1
54,0.05,0.85,0.75,2,7.939,6,9
46,0.05,0.9,0.4,2,8.073,6,10
49,0.05,0.65,0.15,2,8.484,3,8
60,0.05,0.8,0.6,2.25,0.209,3,2
50,0.05,0.65,0.15,2.25,1.497,4,3
50,0.05,0.4,0.15,2.25,1.972,5,3
49,0.05,0.8,0.15,2.25,1.979,5,3
51,0.05,0.95,0.95,2.25,2.184,5,4
52,0.05,0.9,0.3,2.25,4.902,3,6
64,0.05,0.85,0.6,2.25,6.008,11,8
46,0.05,0.95,0.35,2.25,6.456,3,8
61,0.05,0.9,0.7,2.25,7.248,1,9
45,0.05,0.9,0.45,2.25,8.243,0,10
46,0.05,0.85,0.3,2.25,9.005,0,11
53,0.05,0.9,0.65,2.25,9.315,1,11
50,0.05,0.9,0.5,2.25,9.765,7,11
62,0.05,0.8,0.25,2.38,2.76,7,4
51,0.05,0.7,0.2,2.5,0.023,6,2
59,0.05,0.3,0.1,2.5,1.774,3,3
58,0.05,0.45,0.15,2.5,1.779,3,3
60,0.05,0.75,0.2,2.5,2.446,4,4
67,0.05,0.35,0.1,2.5,2.569,3,4
54,0.05,0.35,0.1,2.5,2.654,2,4
50,0.05,0.9,1,2.5,2.964,4,4
56,0.05,0.75,0.2,2.5,3.392,6,5
62,0.05,0.35,0.15,2.5,3.75,1,5
60,0.05,0.85,0.65,2.5,3.902,7,5
57,0.05,0.65,0.2,2.5,4.043,2,6
55,0.05,0.45,0.1,2.5,4.06,0,1
56,0.05,0.45,0.15,2.5,4.164,2,4
69,0.05,0.85,0.35,2.5,4.825,8,6
49,0.05,0.9,0.95,2.5,5.335,0,7
62,0.05,0.85,0.75,2.5,5.415,6,7
58,0.05,0.25,0.1,2.5,5.505,3,6
56,0.05,0.85,0.85,2.5,5.937,6,7
59,0.05,0.85,0.8,2.5,6.869,10,8
62,0.05,0.85,0.95,2.5,7.7,5,9
61,0.05,0.85,0.95,2.5,7.709,5,9
52,0.05,0.95,0.45,2.5,8.138,2,10
62,0.05,0.95,0.95,2.5,9.115,7,11
63,0.05,0.9,0.65,2.5,9.327,4,11
49,0.05,0.8,0.15,2.56,0.977,0.5,2
55,0.05,0.4,0.1,2.63,0.046,0,2
56,0.05,0.85,1,2.63,0.642,5,2
56,0.05,0.9,0.75,2.63,1.467,7,3
44,0.05,0.9,0.85,2.63,2.124,5,4
51,0.05,0.95,0.65,2.63,2.156,6,4
57,0.05,0.75,0.25,2.63,4.389,2.5,6
74,0.05,0.95,1,2.63,6.188,9,8
54,0.05,0.95,0.75,2.63,6.926,1,8
71,0.05,0.9,0.95,2.63,8.277,12,10
64,0.05,0.3,0.1,2.63,9.18,4,4
47,0.05,0.75,0.2,2.75,0.103,4,2
59,0.05,0.85,0.75,2.75,0.941,2,2
53,0.05,0.85,0.75,2.75,1.005,6,3
60,0.05,0.85,0.35,2.75,1.013,2,3
51,0.05,0.9,1,2.75,1.411,3,3
73,0.05,0.85,0.9,2.75,2.841,12,4
67,0.05,0.85,0.9,2.75,3.433,6,5
56,0.05,0.95,0.5,2.75,7.496,8,9
63,0.05,0.85,0.45,2.75,8.815,7,10
58,0.05,0.75,0.55,2.81,6.374,2.5,8
50,0.05,0.8,0.95,2.88,2.266,1,4
55,0.05,0.5,0.1,2.88,3.457,2,5
54,0.05,0.9,1,2.88,3.867,1,5
76,0.05,0.85,0.95,2.88,4.084,7,6
53,0.05,0.25,0.05,2.88,4.774,1,2
59,0.05,0.8,0.4,2.88,4.905,2,6
59,0.05,0.85,0.85,2.88,4.976,3,6
71,0.05,0.85,0.9,2.88,7.475,6,9
71,0.05,0.9,0.5,2.88,8.781,10,10
57,0.05,0.9,0.45,2.88,8.816,1,10
64,0.05,0.6,0.2,2.88,9.642,1.5,11
65,0.05,0.4,0.1,3,0.858,0,2
58,0.05,0.7,0.2,3,2.486,0.5,4
54,0.05,0.85,0.5,3,2.953,2,4
