ticks,adult,child,cost-benefit,generations,gene,median-children,median-education
1210,0.05,0.5,0.5,91.98,7.517,8,9
1197,0.05,0.5,0.5,92.96,5.877,6,7
1192,0.05,0.55,0.5,89.51,3.197,6,5
1714,0.05,0.5,0.5,131.78,9.61,5,11
1432,0.05,0.5,0.5,109.39,3.998,5,5
1321,0.05,0.5,0.5,100.61,2.073,5,4
2101,0.05,0.5,0.5,160.49,1.6,5,3
1042,0.05,0.5,0.5,80.52,6.516,4.5,8
1060,0.05,0.5,0.5,81.28,6.367,4.5,8
1559,0.05,0.5,0.5,120.89,9.138,4,11
1723,0.05,0.5,0.5,133.08,9.246,4,11
1831,0.05,0.5,0.5,140.52,9.835,4,11
1953,0.05,0.5,0.5,151.56,9.831,4,11
2165,0.05,0.5,0.5,168.94,8.392,4,10
1027,0.05,0.55,0.5,77.96,7.117,4,9
1143,0.05,0.55,0.5,89.2,7.977,4,9
1617,0.05,0.5,0.5,125.96,7.086,4,9
2462,0.05,0.5,0.5,191.19,4.165,4,6
1653,0.05,0.5,0.5,127.67,1.293,4,3
1129,0.05,0.55,0.5,89.06,9.375,3.5,11
1569,0.05,0.5,0.5,120.1,9.053,3.5,11
1171,0.05,0.5,0.5,90.61,8.526,3.5,10
1346,0.05,0.5,0.5,103.57,7.637,3.5,9
1484,0.05,0.5,0.5,116.95,7.667,3.5,9
1658,0.05,0.5,0.5,128.35,7.741,3.5,9
1877,0.05,0.5,0.5,147.16,6.164,3.5,8
1358,0.05,0.5,0.5,105.18,5.809,3.5,7
1459,0.05,0.5,0.5,112.35,4.514,3.5,6
1139,0.05,0.5,0.5,87.78,2.427,3.5,4
1014,0.05,0.5,0.5,77.16,9.86,3,11
1017,0.05,0.5,0.5,78.88,9.747,3,11
1100,0.05,0.5,0.5,85.93,9.917,3,11
1112,0.05,0.5,0.5,86.36,9.677,3,11
1114,0.05,0.55,0.5,85.09,9.257,3,11
1121,0.05,0.4,0.5,84.1,9.332,3,11
1131,0.05,0.55,0.5,86.72,9.371,3,11
1147,0.05,0.45,0.5,87.13,9.192,3,11
1160,0.05,0.45,0.5,88.44,9.17,3,11
1182,0.05,0.45,0.5,89.97,9.058,3,11
1227,0.05,0.5,0.5,94.35,9.649,3,11
1255,0.05,0.5,0.5,98.44,9.94,3,11
1264,0.05,0.5,0.5,98.93,9.65,3,11
1283,0.05,0.5,0.5,96.99,9.789,3,11
1288,0.05,0.5,0.5,99.93,9.34,3,11
1288,0.05,0.5,0.5,100.36,9.854,3,11
1291,0.05,0.55,0.5,100.05,9.978,3,11
1297,0.05,0.5,0.5,98.5,9.248,3,11
1509,0.05,0.45,0.5,116.19,9.828,3,11
1590,0.05,0.5,0.5,122.26,9.916,3,11
1612,0.05,0.5,0.5,124.15,9.913,3,11
1615,0.05,0.3,0.5,120.46,9.955,3,11
1634,0.05,0.5,0.5,126.15,9.673,3,11
1689,0.05,0.4,0.5,126.9,9.592,3,11
1761,0.05,0.3,0.5,130.81,9.665,3,11
1829,0.05,0.5,0.5,142.07,9.764,3,11
1831,0.05,0.35,0.5,137.62,9.506,3,11
1844,0.05,0.4,0.5,140.16,9.543,3,11
1939,0.05,0.5,0.5,150.76,9.073,3,11
1988,0.05,0.45,0.5,150.25,9.942,3,11
2185,0.05,0.5,0.5,169.16,9.46,3,11
2550,0.05,0.4,0.5,194.61,9.654,3,11
2735,0.05,0.45,0.5,208.09,9.868,3,11
2746,0.05,0.5,0.5,214.45,9.396,3,11
2943,0.05,0.5,0.5,229.17,9.676,3,11
3028,0.05,0.4,0.5,229.65,9.856,3,11
3349,0.05,0.5,0.5,262.59,9.537,3,11
3501,0.05,0.45,0.5,268.54,9.448,3,11
1004,0.05,0.5,0.5,76.45,8.316,3,10
1020,0.05,0.5,0.5,79.2,8.648,3,10
1039,0.05,0.5,0.5,81.3,8.103,3,10
1063,0.05,0.5,0.5,82.05,8.774,3,10
1111,0.05,0.45,0.5,85.06,8.629,3,10
1160,0.05,0.5,0.5,89.24,8.563,3,10
1172,0.05,0.4,0.5,90.01,8.841,3,10
1199,0.05,0.5,0.5,91.88,8.387,3,10
1219,0.05,0.5,0.5,93.86,8.569,3,10
1260,0.05,0.5,0.5,96.02,8.94,3,10
1305,0.05,0.5,0.5,100.85,8.715,3,10
1314,0.05,0.45,0.5,100.35,8.216,3,10
1332,0.05,0.4,0.5,101.76,8.978,3,10
1338,0.05,0.45,0.5,101.54,8.289,3,10
1366,0.05,0.5,0.5,105.56,8.376,3,10
1391,0.05,0.5,0.5,105.36,8.06,3,10
1413,0.05,0.45,0.5,106.97,8.745,3,10
1463,0.05,0.5,0.5,115.9,8.741,3,10
1478,0.05,0.5,0.5,112.59,8.463,3,10
1507,0.05,0.5,0.5,118.41,8.987,3,10
1516,0.05,0.5,0.5,118.78,8.131,3,10
1527,0.05,0.4,0.5,116.52,8.825,3,10
1562,0.05,0.4,0.5,117.39,8.873,3,10
1581,0.05,0.5,0.5,121.88,8.386,3,10
1590,0.05,0.4,0.5,121.74,8.12,3,10
1592,0.05,0.5,0.5,123.07,8.953,3,10
1921,0.05,0.5,0.5,148.3,8.33,3,10
1972,0.05,0.45,0.5,151.61,8.269,3,10
1973,0.05,0.45,0.5,151.69,8.332,3,10
2144,0.05,0.5,0.5,166.42,8.618,3,10
2212,0.05,0.5,0.5,173.21,8.711,3,10
2511,0.05,0.45,0.5,193.54,8.951,3,10
3064,0.05,0.45,0.5,235.26,8.589,3,10
3613,0.05,0.5,0.5,279.31,8.797,3,10
1019,0.05,0.45,0.5,76.74,7.55,3,9
1065,0.05,0.55,0.5,81.47,7.074,3,9
1069,0.05,0.5,0.5,82.3,7.61,3,9
1088,0.05,0.55,0.5,82.91,7.659,3,9
1112,0.05,0.5,0.5,85.84,7.186,3,9
1114,0.05,0.5,0.5,85.88,7.385,3,9
1132,0.05,0.45,0.5,85.3,7.09,3,9
1201,0.05,0.4,0.5,91.1,7.635,3,9
1206,0.05,0.45,0.5,94.21,7.835,3,9
1288,0.05,0.5,0.5,98.9,7.192,3,9
1331,0.05,0.5,0.5,101.87,7.708,3,9
1404,0.05,0.5,0.5,107.04,7.435,3,9
1615,0.05,0.45,0.5,123.39,7.932,3,9
1774,0.05,0.45,0.5,134.55,7.845,3,9
1794,0.05,0.45,0.5,138.19,7.686,3,9
1965,0.05,0.5,0.5,150.04,7.963,3,9
1970,0.05,0.5,0.5,149.7,7.018,3,9
2010,0.05,0.45,0.5,153.98,7.132,3,9
2042,0.05,0.5,0.5,158.02,7.516,3,9
2169,0.05,0.45,0.5,166.46,7.947,3,9
2494,0.05,0.45,0.5,191.56,7.737,3,9
2572,0.05,0.4,0.5,194.21,7.846,3,9
2656,0.05,0.5,0.5,205.96,7.292,3,9
3050,0.05,0.4,0.5,232.8,7.845,3,9
3071,0.05,0.4,0.5,232.99,7.869,3,9
3252,0.05,0.5,0.5,248.61,7.21,3,9
3356,0.05,0.5,0.5,260.46,7.471,3,9
3372,0.05,0.4,0.5,256.11,7.587,3,9
3728,0.05,0.45,0.5,283.24,7.926,3,9
4834,0.05,0.5,0.5,375.07,7.323,3,9
1017,0.05,0.55,0.5,77.51,6.698,3,8
1076,0.05,0.5,0.5,84.02,6.448,3,8
1098,0.05,0.55,0.5,83.76,6.257,3,8
